Midland Valley,4DMove2.0 v1.0
Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Properties,Object Measurements,Object Measurements,Container
Integer,Text,Text,Text,Text,Color,Boolean,Boolean,Boolean,Real,Real,Integer
GeoId,Name,Object Type,Section,Horizon,Colour,InTime,Fault,closed,length,Horizontal length,line_style
#7F603F,#FFFFFF,#3D3F1F,#3F627F,#FFFFFF,#FFE27F,#FFFFFF,#FFFFFF,#FFFFFF,#7F713F,#5FAEBF,#FFFFFF
,,,,,,,,,metre,metre,
dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,dimension,dimension,dimensionless
3124,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,335.824360,284.443725,2
3125,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,667.967763,665.233874,4
3126,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,740.065722,699.303754,4
3128,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,197.490627,150.041139,4
3129,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,773.927345,750.205643,4
3130,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,2053.369645,1613.458605,4
3131,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,198.165315,167.632389,4
3132,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,164.362351,142.894661,4
3133,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,236.441167,236.193366,1
3134,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1864.596748,1851.611234,1
3135,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,1406.694343,1251.732499,1
3136,Hu,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Hu,#005500,0,,,663.296665,614.556756,1
3137,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,2698.062198,2534.910603,2
3138,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,408.417859,367.385104,2
3139,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,939.584573,933.858237,2
3140,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,636.596219,608.209484,2
3141,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,604.755154,535.722785,2
3142,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,269.796089,264.554453,2
3143,Ma,Line,Map1_Tafel_25_Section_12_Emscher_West_Ruhrgebit_G1,Ma,#ff00ff,0,,,2274.674238,2261.165037,1
